city,district,neighborhood,room,living_room,area,age,floor,price
izmir,buca,kurucesme,1,1,55,1,1,15000
izmir,buca,akincilar,3,1,110,31,2,14000
izmir,balcova,teleferik,3,1,130,25,4,28000
izmir,menemen,9_eylul,3,1,178,10,4,30000
izmir,buca,yenigun,2,1,100,18,3,18500
izmir,menemen,85_yil_cumhuriyet,1,1,60,3,3,10000
izmir,gaziemir,hurriyet,3,1,145,17,2,15000
izmir,konak,guzelyali,3,1,120,29,2,25000
izmir,bayrakli,osmangazi,2,1,90,7,2,25000
izmir,buca,mustafa_kemal,1,1,70,7,2,11500
izmir,balcova,teleferik,2,1,105,25,2,21000
izmir,karabaglar,sariyer,2,1,100,45,2,7500
izmir,konak,barbaros,3,1,130,30,2,15000
izmir,bayrakli,bayrakli,3,1,105,35,3,17000
izmir,foca,ismetpasa,3,1,150,26,0,3000
izmir,cesme,alacati,4,1,150,5,0,3500
izmir,cesme,yali,3,1,140,0,0,6500
izmir,cesme,ciftlik,3,1,130,1,2,3500
izmir,cesme,sifne,2,1,110,0,0,6250
izmir,cesme,dalyan,3,1,145,13,2,4500
izmir,cesme,alacati,3,1,170,15,2,3000
izmir,cesme,alacati,3,1,150,6,2,3500
izmir,cesme,boyalik,3,1,150,30,2,3750
izmir,konak,kahramanlar,3,1,120,26,1,35000
izmir,karabaglar,basin_sitesi,4,1,170,28,5,50000
izmir,urla,kalabak,2,1,130,20,2,40000
izmir,bayrakli,manavkuyu,3,1,110,3,5,40000
izmir,karabaglar,uckuyular,3,1,110,35,5,22000
izmir,karsiyaka,demirkopru,2,1,95,4,4,33000
izmir,karabaglar,reis,3,1,112,9,3,19000
izmir,konak,altintas,3,1,110,35,1,24000
izmir,karsiyaka,demirkopru,1,1,50,0,5,20000
izmir,konak,kemal_reis,2,1,90,40,3,14000
izmir,bornova,kazimdirik,1,1,54,0,3,19000
izmir,aliaga,yali,3,1,195,5,0,51000
izmir,karsiyaka,bostanli,2,1,90,3,1,40000
izmir,odemis,zafer,3,1,165,15,1,15000
izmir,bornova,kazimdirik,1,1,58,8,5,26000
izmir,balcova,onur,3,1,130,20,1,30000
izmir,kinik,turkcedit,2,1,90,4,0,10000
izmir,konak,cinarli,1,1,55,1,5,25000
izmir,foca,ataturk,2,1,80,15,3,17000
izmir,karabaglar,bahcelievler,3,1,165,26,3,20000
izmir,menemen,inonu,1,1,55,1,3,10000
izmir,seferihisar,turabiye,1,1,55,5,1,13500
izmir,cigli,atasehir,3,1,155,4,4,42500
izmir,dikili,gazipasa,2,1,65,1,3,20000
izmir,torbali,inonu,1,1,80,5,1,14000
izmir,buca,inkilap,3,1,135,26,5,17500
izmir,karabaglar,bahcelievler,2,1,80,22,0,20000
izmir,bornova,yunus_emre,2,1,130,1,3,13000
izmir,seferihisar,camikebir,3,1,140,5,4,23000
izmir,cigli,atasehir,3,1,170,6,4,35000
izmir,gaziemir,irmak,3,1,125,3,3,25000
izmir,menemen,mermerli,3,1,122,20,2,15000
izmir,bayrakli,cay,2,1,100,31,3,12000
izmir,bornova,kazimdirik,2,1,100,30,4,25000
izmir,menemen,9_eylul,1,1,45,0,2,12500
izmir,karabaglar,bozyaka,3,1,140,0,2,25000
izmir,balcova,koruturk,3,1,125,26,1,26000
izmir,karabaglar,esenyali,3,1,135,38,4,30000
izmir,seferihisar,hidirlik,1,1,55,0,3,15000
izmir,bornova,kazimdirik,3,1,136,25,3,25000
izmir,balcova,egitim,1,1,70,35,4,20000
izmir,menderes,gumuldur_fevzi_cakmak,2,1,95,5,1,14000
izmir,balcova,koruturk,3,1,115,30,5,30000
izmir,foca,mustafa_kemal_ataturk,2,1,85,0,5,20000
izmir,karabaglar,metin_oktay,2,1,95,25,4,20000
izmir,konak,atilla,2,1,70,5,4,20000
izmir,buca,yenigun,1,1,60,16,2,12000
izmir,buca,efeler,3,1,125,23,1,20000
izmir,buca,gaziler,1,1,49,0,3,17000
izmir,buca,yildiz,1,1,58,5,3,15000
izmir,konak,akin_simav,3,1,115,35,3,32000
izmir,konak,mehmet_ali_akman,3,1,120,40,2,29500
izmir,buca,yildiz,3,1,130,25,3,16000
izmir,torbali,torbali,2,1,125,0,3,16500
izmir,karsiyaka,donanmaci,3,1,150,30,4,26000
izmir,foca,mustafa_kemal_ataturk,2,1,90,6,3,20000
izmir,guzelbahce,yelki,3,1,132,7,3,35000
izmir,seferihisar,camikebir,1,1,65,0,2,15000
izmir,bornova,mevlana,1,1,70,8,1,17500
izmir,menemen,zeytinlik,1,1,50,1,4,10000
izmir,konak,barbaros,3,1,115,10,3,28000
izmir,bayrakli,adalet,2,1,110,1,1,35500
izmir,urla,haci_isa,1,1,55,4,2,20000
izmir,karabaglar,arap_hasan,2,1,95,40,2,20000
